INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../tools.cpp in debug mode
   Generating csim.exe
[r][c][m]: 1 6 2	out : -7.568486691e+000		ref : -7.568586826e+000
[r][c][m]: 23 15 2	out : 8.579343414e+001		ref : 8.579354858e+001
[r][c][m]: 24 1 2	out : 2.371429749e+002		ref : 2.371431274e+002
[r][c][m]: 24 7 2	out : -1.920808868e+002		ref : -1.920809937e+002
[r][c][m]: 24 13 2	out : 1.372722931e+002		ref : 1.372724304e+002
[r][c][m]: 24 28 2	out : -1.523309631e+002		ref : -1.523311157e+002
[r][c][m]: 25 13 2	out : 1.517052612e+002		ref : 1.517051239e+002
[r][c][m]: 26 25 2	out : 1.418548431e+002		ref : 1.418549652e+002
[r][c][m]: 27 5 2	out : 1.033115082e+002		ref : 1.033113251e+002
[r][c][m]: 28 1 2	out : -5.025004196e+001		ref : -5.024991608e+001
[r][c][m]: 28 21 2	out : 1.024712524e+002		ref : 1.024710846e+002
[r][c][m]: 28 26 2	out : 8.019353485e+001		ref : 8.019342804e+001
[r][c][m]: 29 5 2	out : -1.197364655e+002		ref : -1.197366180e+002
[r][c][m]: 30 1 2	out : -2.137409058e+002		ref : -2.137410431e+002
[r][c][m]: 31 4 2	out : -1.148758163e+002		ref : -1.148759460e+002
[r][c][m]: 31 23 2	out : -1.570383911e+002		ref : -1.570384979e+002
[r][c][m]: 26 2 22	out : -6.666277313e+001		ref : -6.666266632e+001
[r][c][m]: 12 4 29	out : 2.802906036e+001		ref : 2.802894783e+001
[r][c][m]: 12 14 29	out : 8.797798920e+001		ref : 8.797809601e+001
[r][c][m]: 12 25 29	out : 1.039086990e+002		ref : 1.039088593e+002
[r][c][m]: 14 29 29	out : -1.441549377e+002		ref : -1.441550598e+002
[r][c][m]: 21 20 29	out : 6.143221664e+001		ref : 6.143232727e+001
[r][c][m]: 23 13 29	out : -9.449150085e+001		ref : -9.449161530e+001
[r][c][m]: 26 2 29	out : -6.536764526e+001		ref : -6.536775970e+001
[r][c][m]: 7 27 30	out : -9.672188568e+001		ref : -9.672173309e+001
[r][c][m]: 11 29 30	out : 7.251892853e+001		ref : 7.251905060e+001
[r][c][m]: 12 1 30	out : 1.028314133e+002		ref : 1.028313065e+002
[r][c][m]: 30 6 30	out : 8.236018372e+001		ref : 8.236007690e+001
[r][c][m]: 0 7 44	out : 2.140247345e+002		ref : 2.140248413e+002
[r][c][m]: 0 16 44	out : 1.690269012e+002		ref : 1.690270844e+002
[r][c][m]: 0 30 44	out : -1.277138977e+002		ref : -1.277140350e+002
[r][c][m]: 1 1 44	out : -8.165469360e+001		ref : -8.165448761e+001
[r][c][m]: 1 3 44	out : -1.440121460e+002		ref : -1.440120087e+002
[r][c][m]: 1 8 44	out : 2.242722473e+002		ref : 2.242718811e+002
[r][c][m]: 1 10 44	out : -1.554025574e+002		ref : -1.554026947e+002
[r][c][m]: 1 22 44	out : 7.612107849e+001		ref : 7.612123108e+001
[r][c][m]: 1 24 44	out : 1.825019989e+002		ref : 1.825021362e+002
[r][c][m]: 1 30 44	out : -9.828718567e+001		ref : -9.828707123e+001
[r][c][m]: 2 13 44	out : 2.203211670e+002		ref : 2.203210297e+002
[r][c][m]: 2 15 44	out : -9.407289124e+001		ref : -9.407302856e+001
[r][c][m]: 2 16 44	out : -7.588564301e+001		ref : -7.588584137e+001
[r][c][m]: 2 19 44	out : -9.679954529e+001		ref : -9.679966736e+001
[r][c][m]: 2 25 44	out : 3.097465515e+002		ref : 3.097466736e+002
[r][c][m]: 3 5 44	out : -2.378759460e+002		ref : -2.378758240e+002
[r][c][m]: 3 8 44	out : 7.824898529e+001		ref : 7.824909973e+001
[r][c][m]: 3 14 44	out : -1.294256744e+002		ref : -1.294257812e+002
[r][c][m]: 4 6 44	out : -2.314907074e+001		ref : -2.314890671e+001
[r][c][m]: 4 7 44	out : 2.150264893e+002		ref : 2.150266876e+002
[r][c][m]: 4 10 44	out : 3.355127716e+001		ref : 3.355116653e+001
[r][c][m]: 4 21 44	out : -3.723431015e+001		ref : -3.723442078e+001
[r][c][m]: 4 26 44	out : -1.777616425e+002		ref : -1.777617645e+002
[r][c][m]: 4 30 44	out : -2.753045654e+002		ref : -2.753046875e+002
[r][c][m]: 5 3 44	out : 4.348671341e+001		ref : 4.348681641e+001
[r][c][m]: 5 8 44	out : 1.591178284e+002		ref : 1.591177063e+002
[r][c][m]: 5 11 44	out : 2.029491425e+002		ref : 2.029490051e+002
[r][c][m]: 5 13 44	out : 1.223131790e+002		ref : 1.223132935e+002
[r][c][m]: 5 19 44	out : 1.352165985e+002		ref : 1.352167358e+002
[r][c][m]: 5 27 44	out : 1.294375305e+002		ref : 1.294377289e+002
[r][c][m]: 6 1 44	out : -1.736415710e+002		ref : -1.736414032e+002
[r][c][m]: 6 10 44	out : -3.316912079e+001		ref : -3.316926575e+001
[r][c][m]: 6 16 44	out : -1.830857391e+002		ref : -1.830858459e+002
[r][c][m]: 6 20 44	out : -1.099411240e+002		ref : -1.099409561e+002
[r][c][m]: 6 22 44	out : 1.695208588e+002		ref : 1.695207214e+002
[r][c][m]: 6 23 44	out : -6.757837677e+001		ref : -6.757850647e+001
[r][c][m]: 7 13 44	out : -1.292055969e+002		ref : -1.292054443e+002
[r][c][m]: 7 31 44	out : -1.815250549e+002		ref : -1.815249329e+002
[r][c][m]: 8 2 44	out : 1.200569153e+002		ref : 1.200570984e+002
[r][c][m]: 8 11 44	out : -1.971816711e+002		ref : -1.971817932e+002
[r][c][m]: 8 20 44	out : 1.699304810e+002		ref : 1.699306793e+002
[r][c][m]: 9 1 44	out : -1.937824860e+002		ref : -1.937825928e+002
[r][c][m]: 9 2 44	out : -1.276121521e+002		ref : -1.276120453e+002
[r][c][m]: 9 7 44	out : -2.285648499e+002		ref : -2.285649567e+002
[r][c][m]: 9 12 44	out : -1.264585724e+002		ref : -1.264584198e+002
[r][c][m]: 9 16 44	out : 2.049976959e+002		ref : 2.049978180e+002
[r][c][m]: 9 19 44	out : -3.532756958e+002		ref : -3.532758484e+002
[r][c][m]: 9 29 44	out : 2.548130188e+002		ref : 2.548129120e+002
[r][c][m]: 10 8 44	out : -3.672029724e+002		ref : -3.672028198e+002
[r][c][m]: 10 14 44	out : 1.771315918e+002		ref : 1.771316986e+002
[r][c][m]: 10 16 44	out : -2.877251587e+002		ref : -2.877253113e+002
[r][c][m]: 10 17 44	out : -4.229854431e+002		ref : -4.229856262e+002
[r][c][m]: 10 22 44	out : -1.651947479e+002		ref : -1.651948700e+002
[r][c][m]: 11 3 44	out : -1.907006226e+002		ref : -1.907005157e+002
[r][c][m]: 11 5 44	out : -7.172174835e+001		ref : -7.172187042e+001
[r][c][m]: 11 7 44	out : 2.407123108e+002		ref : 2.407124786e+002
[r][c][m]: 11 14 44	out : 1.621115417e+002		ref : 1.621114349e+002
[r][c][m]: 11 15 44	out : -1.706590576e+002		ref : -1.706589355e+002
[r][c][m]: 11 17 44	out : -1.199317856e+002		ref : -1.199316559e+002
[r][c][m]: 11 19 44	out : 3.746025696e+002		ref : 3.746027832e+002
[r][c][m]: 11 22 44	out : -1.252631607e+002		ref : -1.252632904e+002
[r][c][m]: 12 16 44	out : 1.609933319e+002		ref : 1.609932098e+002
[r][c][m]: 12 25 44	out : 1.925407104e+002		ref : 1.925405273e+002
[r][c][m]: 12 31 44	out : 8.907376862e+001		ref : 8.907389069e+001
[r][c][m]: 13 2 44	out : 1.195171432e+002		ref : 1.195170288e+002
[r][c][m]: 13 4 44	out : -2.108124237e+002		ref : -2.108123169e+002
[r][c][m]: 13 10 44	out : 2.335064697e+002		ref : 2.335065918e+002
[r][c][m]: 13 14 44	out : -2.833046875e+002		ref : -2.833045349e+002
[r][c][m]: 13 15 44	out : 2.410500641e+002		ref : 2.410499420e+002
[r][c][m]: 13 16 44	out : 1.653752594e+002		ref : 1.653751526e+002
[r][c][m]: 14 10 44	out : 1.960792847e+002		ref : 1.960789948e+002
[r][c][m]: 14 15 44	out : -1.209728622e+001		ref : -1.209711647e+001
[r][c][m]: 14 24 44	out : 2.547180939e+002		ref : 2.547179108e+002
[r][c][m]: 14 31 44	out : 1.357469635e+002		ref : 1.357468567e+002
[r][c][m]: 15 7 44	out : -5.622878265e+001		ref : -5.622867203e+001
[r][c][m]: 15 12 44	out : -2.207954645e+000		ref : -2.208056450e+000
[r][c][m]: 15 19 44	out : -1.187816162e+002		ref : -1.187814865e+002
[r][c][m]: 15 28 44	out : 2.509579773e+002		ref : 2.509581909e+002
[r][c][m]: 16 1 44	out : 5.442287064e+001		ref : 5.442303085e+001
[r][c][m]: 16 2 44	out : -2.771849060e+002		ref : -2.771844482e+002
[r][c][m]: 16 4 44	out : -7.990020752e+001		ref : -7.990032196e+001
[r][c][m]: 16 9 44	out : 1.312299957e+002		ref : 1.312301178e+002
[r][c][m]: 16 12 44	out : -2.789843750e+002		ref : -2.789845276e+002
[r][c][m]: 17 2 44	out : 1.247597694e+001		ref : 1.247607803e+001
[r][c][m]: 17 6 44	out : 1.009642487e+002		ref : 1.009641113e+002
[r][c][m]: 17 9 44	out : 4.768574142e+001		ref : 4.768586349e+001
[r][c][m]: 17 10 44	out : 2.576050720e+002		ref : 2.576047668e+002
[r][c][m]: 17 11 44	out : -5.048562527e+000		ref : -5.048715115e+000
[r][c][m]: 17 14 44	out : -1.719718323e+002		ref : -1.719719696e+002
[r][c][m]: 17 20 44	out : -2.187016754e+002		ref : -2.187014160e+002
[r][c][m]: 17 27 44	out : -1.931228943e+002		ref : -1.931231079e+002
[r][c][m]: 17 30 44	out : 5.451237106e+001		ref : 5.451226044e+001
[r][c][m]: 18 3 44	out : 1.075077133e+002		ref : 1.075075912e+002
[r][c][m]: 18 9 44	out : -3.878343964e+001		ref : -3.878331757e+001
[r][c][m]: 18 11 44	out : 2.184921265e+002		ref : 2.184919281e+002
[r][c][m]: 18 17 44	out : -8.238231659e+000		ref : -8.238342285e+000
[r][c][m]: 18 19 44	out : -3.290623093e+001		ref : -3.290612793e+001
[r][c][m]: 18 20 44	out : 2.701247864e+002		ref : 2.701249084e+002
[r][c][m]: 19 9 44	out : -8.827169800e+001		ref : -8.827159119e+001
[r][c][m]: 19 10 44	out : -1.926772003e+002		ref : -1.926773224e+002
[r][c][m]: 19 14 44	out : 5.645310593e+001		ref : 5.645289612e+001
[r][c][m]: 19 20 44	out : 1.589702148e+002		ref : 1.589704437e+002
[r][c][m]: 19 23 44	out : 1.956903229e+002		ref : 1.956901855e+002
[r][c][m]: 19 30 44	out : 4.665340042e+001		ref : 4.665350723e+001
[r][c][m]: 20 5 44	out : -2.373044128e+002		ref : -2.373045502e+002
[r][c][m]: 20 11 44	out : -1.806794739e+002		ref : -1.806793365e+002
[r][c][m]: 20 14 44	out : 1.773430023e+002		ref : 1.773431854e+002
[r][c][m]: 20 28 44	out : 3.319159851e+002		ref : 3.319161682e+002
[r][c][m]: 21 2 44	out : -2.013664093e+002		ref : -2.013662720e+002
[r][c][m]: 21 7 44	out : -1.569084167e+002		ref : -1.569082489e+002
[r][c][m]: 21 9 44	out : -9.916417694e+001		ref : -9.916432190e+001
[r][c][m]: 21 12 44	out : -1.651502533e+002		ref : -1.651503601e+002
[r][c][m]: 21 15 44	out : 1.203686905e+002		ref : 1.203687973e+002
[r][c][m]: 21 28 44	out : -6.474508667e+001		ref : -6.474530029e+001
[r][c][m]: 22 4 44	out : -1.086006317e+002		ref : -1.086005096e+002
[r][c][m]: 22 9 44	out : -1.004351044e+002		ref : -1.004352646e+002
[r][c][m]: 22 10 44	out : -2.054701996e+002		ref : -2.054704132e+002
[r][c][m]: 22 17 44	out : -3.541906738e+001		ref : -3.541894150e+001
[r][c][m]: 22 18 44	out : 1.445572968e+002		ref : 1.445571899e+002
[r][c][m]: 22 23 44	out : 2.412907257e+002		ref : 2.412905884e+002
[r][c][m]: 22 30 44	out : 1.533539429e+002		ref : 1.533538055e+002
[r][c][m]: 23 1 44	out : 2.607248535e+002		ref : 2.607250671e+002
[r][c][m]: 23 8 44	out : -2.221424580e+000		ref : -2.221307516e+000
[r][c][m]: 23 9 44	out : -2.529464264e+002		ref : -2.529463196e+002
[r][c][m]: 23 26 44	out : 1.846973114e+002		ref : 1.846972046e+002
[r][c][m]: 23 30 44	out : 1.799775848e+002		ref : 1.799777679e+002
[r][c][m]: 24 5 44	out : -1.439733887e+002		ref : -1.439735107e+002
[r][c][m]: 24 24 44	out : -1.575031128e+002		ref : -1.575032654e+002
[r][c][m]: 24 27 44	out : -2.312313690e+002		ref : -2.312312317e+002
[r][c][m]: 24 29 44	out : 2.199682617e+002		ref : 2.199685059e+002
[r][c][m]: 25 11 44	out : 1.389256897e+002		ref : 1.389258270e+002
[r][c][m]: 25 25 44	out : -2.312372437e+002		ref : -2.312370605e+002
[r][c][m]: 26 9 44	out : 1.937955475e+002		ref : 1.937956696e+002
[r][c][m]: 26 10 44	out : 9.093653107e+001		ref : 9.093641663e+001
[r][c][m]: 26 11 44	out : 1.345205078e+002		ref : 1.345203857e+002
[r][c][m]: 26 13 44	out : 2.322472076e+002		ref : 2.322470398e+002
[r][c][m]: 26 14 44	out : 1.215954132e+002		ref : 1.215952911e+002
[r][c][m]: 26 19 44	out : 7.189115143e+001		ref : 7.189128876e+001
[r][c][m]: 26 20 44	out : -7.345854187e+001		ref : -7.345867157e+001
[r][c][m]: 26 28 44	out : -2.029198914e+002		ref : -2.029197693e+002
[r][c][m]: 27 4 44	out : 2.307442017e+002		ref : 2.307443237e+002
[r][c][m]: 27 11 44	out : -1.738249969e+002		ref : -1.738248901e+002
[r][c][m]: 27 12 44	out : 2.524303741e+002		ref : 2.524301147e+002
[r][c][m]: 27 21 44	out : -2.161565399e+002		ref : -2.161563873e+002
[r][c][m]: 28 7 44	out : 1.190291519e+002		ref : 1.190289841e+002
[r][c][m]: 28 10 44	out : 1.035715408e+002		ref : 1.035714111e+002
[r][c][m]: 28 12 44	out : 1.093528290e+002		ref : 1.093526688e+002
[r][c][m]: 28 13 44	out : -2.013069611e+002		ref : -2.013067780e+002
[r][c][m]: 28 26 44	out : -3.612053833e+002		ref : -3.612052307e+002
[r][c][m]: 28 28 44	out : 1.692557983e+002		ref : 1.692556305e+002
[r][c][m]: 29 1 44	out : -6.384644699e+001		ref : -6.384634018e+001
[r][c][m]: 29 10 44	out : -1.399773560e+002		ref : -1.399774628e+002
[r][c][m]: 29 11 44	out : 3.062308655e+002		ref : 3.062309875e+002
[r][c][m]: 29 18 44	out : 2.748600464e+002		ref : 2.748601685e+002
[r][c][m]: 29 21 44	out : -1.445548553e+002		ref : -1.445549622e+002
[r][c][m]: 29 24 44	out : -2.484136810e+002		ref : -2.484135132e+002
[r][c][m]: 30 1 44	out : -1.297341919e+002		ref : -1.297339172e+002
[r][c][m]: 30 2 44	out : -1.179514160e+002		ref : -1.179515228e+002
[r][c][m]: 30 4 44	out : 1.306776123e+002		ref : 1.306777191e+002
[r][c][m]: 30 16 44	out : -1.358631439e+002		ref : -1.358630371e+002
[r][c][m]: 30 24 44	out : 1.175398560e+002		ref : 1.175400238e+002
[r][c][m]: 30 29 44	out : 1.782001038e+002		ref : 1.781999969e+002
[r][c][m]: 31 2 44	out : -2.045620728e+002		ref : -2.045623016e+002
[r][c][m]: 31 9 44	out : -1.900138245e+002		ref : -1.900139313e+002
[r][c][m]: 31 20 44	out : 1.186182785e+001		ref : 1.186194801e+001
[r][c][m]: 31 21 44	out : -7.136753082e+001		ref : -7.136742401e+001
[r][c][m]: 0 0 49	out : 3.269767151e+002		ref : 3.269765930e+002
[r][c][m]: 0 4 49	out : 2.904045410e+002		ref : 2.904049683e+002
[r][c][m]: 0 6 49	out : 3.916629639e+002		ref : 3.916628113e+002
[r][c][m]: 0 9 49	out : 5.714831543e+002		ref : 5.714827881e+002
[r][c][m]: 0 12 49	out : -2.299785919e+002		ref : -2.299784698e+002
[r][c][m]: 0 13 49	out : -4.152486877e+002		ref : -4.152490845e+002
[r][c][m]: 0 14 49	out : -6.014813843e+002		ref : -6.014811401e+002
[r][c][m]: 0 16 49	out : -1.059970245e+002		ref : -1.059972992e+002
[r][c][m]: 0 17 49	out : 1.449893494e+002		ref : 1.449895477e+002
[r][c][m]: 0 21 49	out : -5.091748352e+002		ref : -5.091749573e+002
[r][c][m]: 0 22 49	out : -8.460140991e+001		ref : -8.460128021e+001
[r][c][m]: 0 26 49	out : -2.720947266e+001		ref : -2.720932007e+001
[r][c][m]: 0 27 49	out : -4.079678650e+002		ref : -4.079677429e+002
[r][c][m]: 0 28 49	out : -1.654326477e+002		ref : -1.654328003e+002
[r][c][m]: 1 0 49	out : 2.784033585e+001		ref : 2.784006882e+001
[r][c][m]: 1 2 49	out : -4.118334656e+002		ref : -4.118338318e+002
[r][c][m]: 1 3 49	out : 4.717463989e+002		ref : 4.717461853e+002
[r][c][m]: 1 4 49	out : -3.478794479e+001		ref : -3.478821182e+001
[r][c][m]: 1 6 49	out : 6.550738525e+002		ref : 6.550742798e+002
[r][c][m]: 1 7 49	out : -1.256915588e+002		ref : -1.256913681e+002
[r][c][m]: 1 11 49	out : 4.729502258e+002		ref : 4.729503784e+002
[r][c][m]: 1 12 49	out : -4.553763866e+000		ref : -4.553507805e+000
[r][c][m]: 1 13 49	out : -2.703666306e+001		ref : -2.703678894e+001
[r][c][m]: 1 14 49	out : 1.652590332e+002		ref : 1.652588959e+002
[r][c][m]: 1 16 49	out : 3.056870117e+002		ref : 3.056871948e+002
[r][c][m]: 1 17 49	out : 4.163301392e+002		ref : 4.163302917e+002
[r][c][m]: 1 18 49	out : 1.574295959e+002		ref : 1.574294434e+002
[r][c][m]: 1 19 49	out : 1.596828308e+002		ref : 1.596827087e+002
[r][c][m]: 1 22 49	out : 1.754532928e+002		ref : 1.754530640e+002
[r][c][m]: 1 24 49	out : -7.757842407e+002		ref : -7.757846069e+002
[r][c][m]: 1 25 49	out : 2.558651276e+002		ref : 2.558649445e+002
[r][c][m]: 1 26 49	out : 1.583789825e+001		ref : 1.583802032e+001
[r][c][m]: 1 27 49	out : 7.627407837e+001		ref : 7.627394104e+001
[r][c][m]: 1 29 49	out : 3.172674751e+001		ref : 3.172656822e+001
[r][c][m]: 1 30 49	out : 3.843166809e+002		ref : 3.843173218e+002
[r][c][m]: 1 31 49	out : 3.023059082e+002		ref : 3.023057556e+002
[r][c][m]: 2 2 49	out : 2.115531616e+002		ref : 2.115532684e+002
[r][c][m]: 2 6 49	out : -2.090808716e+002		ref : -2.090810242e+002
[r][c][m]: 2 7 49	out : -9.875799561e+001		ref : -9.875835419e+001
[r][c][m]: 2 10 49	out : 1.137654053e+003		ref : 1.137653442e+003
[r][c][m]: 2 11 49	out : -8.909642792e+001		ref : -8.909654236e+001
[r][c][m]: 2 14 49	out : 2.688731384e+002		ref : 2.688732605e+002
[r][c][m]: 2 16 49	out : 5.119348755e+002		ref : 5.119349976e+002
[r][c][m]: 2 19 49	out : -2.145995789e+002		ref : -2.145994110e+002
[r][c][m]: 2 21 49	out : 1.855510559e+002		ref : 1.855512695e+002
[r][c][m]: 2 24 49	out : -2.072616730e+002		ref : -2.072613525e+002
[r][c][m]: 2 25 49	out : -1.464046326e+002		ref : -1.464049835e+002
[r][c][m]: 2 28 49	out : 2.409593506e+002		ref : 2.409590759e+002
[r][c][m]: 2 29 49	out : 7.724359131e+002		ref : 7.724370117e+002
[r][c][m]: 2 30 49	out : -5.518038559e+001		ref : -5.518021393e+001
[r][c][m]: 3 0 49	out : 7.130017090e+002		ref : 7.130020752e+002
[r][c][m]: 3 1 49	out : 1.063612518e+002		ref : 1.063617249e+002
[r][c][m]: 3 6 49	out : -3.798739319e+002		ref : -3.798742981e+002
[r][c][m]: 3 9 49	out : -2.950809937e+002		ref : -2.950811768e+002
[r][c][m]: 3 10 49	out : -4.288083496e+002		ref : -4.288084717e+002
[r][c][m]: 3 12 49	out : -6.381616821e+002		ref : -6.381619263e+002
[r][c][m]: 3 19 49	out : -2.258126831e+002		ref : -2.258123016e+002
[r][c][m]: 3 20 49	out : -4.245978699e+002		ref : -4.245975952e+002
[r][c][m]: 3 22 49	out : -2.106413116e+002		ref : -2.106408539e+002
[r][c][m]: 3 24 49	out : -3.556257935e+002		ref : -3.556261902e+002
[r][c][m]: 3 26 49	out : 5.955580444e+002		ref : 5.955578613e+002
[r][c][m]: 3 27 49	out : -7.270922089e+001		ref : -7.270966339e+001
[r][c][m]: 3 28 49	out : -4.520524597e+002		ref : -4.520528564e+002
[r][c][m]: 3 29 49	out : -4.663230515e+001		ref : -4.663219070e+001
[r][c][m]: 4 2 49	out : 2.867882490e+000		ref : 2.867619038e+000
[r][c][m]: 4 4 49	out : 5.258151245e+002		ref : 5.258142090e+002
[r][c][m]: 4 7 49	out : 2.455045319e+002		ref : 2.455048218e+002
[r][c][m]: 4 9 49	out : 1.449932251e+002		ref : 1.449931183e+002
[r][c][m]: 4 10 49	out : -5.016319580e+002		ref : -5.016322327e+002
[r][c][m]: 4 12 49	out : 3.881011963e+002		ref : 3.881010742e+002
[r][c][m]: 4 14 49	out : -3.193420982e+001		ref : -3.193434143e+001
[r][c][m]: 4 16 49	out : -1.924358063e+002		ref : -1.924359131e+002
[r][c][m]: 4 17 49	out : 9.551737213e+001		ref : 9.551712799e+001
[r][c][m]: 4 18 49	out : -1.813345337e+002		ref : -1.813346863e+002
[r][c][m]: 4 19 49	out : -4.616974182e+002		ref : -4.616975708e+002
[r][c][m]: 4 21 49	out : -1.238822098e+002		ref : -1.238819275e+002
[r][c][m]: 4 24 49	out : -2.787633362e+002		ref : -2.787630005e+002
[r][c][m]: 4 28 49	out : -5.951481323e+002		ref : -5.951483154e+002
[r][c][m]: 4 29 49	out : -2.048239746e+002		ref : -2.048237915e+002
[r][c][m]: 4 30 49	out : 8.321803284e+001		ref : 8.321782684e+001
[r][c][m]: 5 0 49	out : 3.350266418e+002		ref : 3.350264893e+002
[r][c][m]: 5 1 49	out : -6.447835083e+002		ref : -6.447830811e+002
[r][c][m]: 5 3 49	out : -3.739584351e+002		ref : -3.739585571e+002
[r][c][m]: 5 6 49	out : 6.582772064e+001		ref : 6.582749939e+001
[r][c][m]: 5 7 49	out : -6.816320801e+001		ref : -6.816333771e+001
[r][c][m]: 5 9 49	out : 2.094234467e+002		ref : 2.094237976e+002
[r][c][m]: 5 11 49	out : 4.988070679e+002		ref : 4.988073425e+002
[r][c][m]: 5 12 49	out : -6.141772461e+001		ref : -6.141805649e+001
[r][c][m]: 5 13 49	out : -1.624286957e+002		ref : -1.624285278e+002
